scenario_id,scenario_family,ego_speed_kmh,target_distance_m,relative_speed_kmh,road_condition,mu,actuator_delay_s,target_type,expected_state,odd_status,stopping_distance_m,ttc_s,calculated_state,brake_request,verification_result,verification_comment
P-SCN-071,HIGH_CLOSING_RISK,30,9.847,17.725,wet,0.45,0.3,lead_vehicle,WARNING,inside_ODD,10.365,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-072,SUDDEN_OBSTACLE,30,7.256,30,wet,0.45,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,10.365,0.871,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-073,NORMAL_FOLLOWING,40,25,5,dry,0.75,0.1,lead_vehicle,SAFE,inside_ODD,9.501,18,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-074,CLOSE_TARGET,40,10.926,10.926,dry,0.75,0.1,lead_vehicle,CAUTION,inside_ODD,9.501,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-075,HIGH_CLOSING_RISK,40,9.026,16.247,dry,0.75,0.1,lead_vehicle,WARNING,inside_ODD,9.501,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-076,SUDDEN_OBSTACLE,40,6.651,40,dry,0.75,0.1,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,9.501,0.599,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-077,NORMAL_FOLLOWING,40,26.53,5,dry,0.75,0.2,lead_vehicle,SAFE,inside_ODD,10.612,19.102,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-078,CLOSE_TARGET,40,12.204,12.204,dry,0.75,0.2,lead_vehicle,CAUTION,inside_ODD,10.612,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-079,HIGH_CLOSING_RISK,40,10.081,18.147,dry,0.75,0.2,lead_vehicle,WARNING,inside_ODD,10.612,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-080,SUDDEN_OBSTACLE,40,7.428,40,dry,0.75,0.2,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,10.612,0.669,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-081,NORMAL_FOLLOWING,40,29.308,5,dry,0.75,0.3,lead_vehicle,SAFE,inside_ODD,11.723,21.102,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-082,CLOSE_TARGET,40,13.482,13.482,dry,0.75,0.3,lead_vehicle,CAUTION,inside_ODD,11.723,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-083,HIGH_CLOSING_RISK,40,11.137,20.047,dry,0.75,0.3,lead_vehicle,WARNING,inside_ODD,11.723,2,WARNING,0,Pass,Calculated state matches expected state.
P-SCN-084,SUDDEN_OBSTACLE,40,8.206,40,dry,0.75,0.3,stationary_obstacle,EMERGENCY_BRAKE,inside_ODD,11.723,0.739,EMERGENCY_BRAKE,1,Pass,Calculated state matches expected state.
P-SCN-085,NORMAL_FOLLOWING,40,37.736,5,wet,0.45,0.1,lead_vehicle,SAFE,inside_ODD,15.094,27.17,SAFE,0,Pass,Calculated state matches expected state.
P-SCN-086,CLOSE_TARGET,40,17.358,17.358,wet,0.45,0.1,lead_vehicle,CAUTION,inside_ODD,15.094,3.6,CAUTION,0,Pass,Calculated state matches expected state.
P-SCN-087,HIGH_CLOSING_RISK,40,14.34,25.811,wet,0.45,0.1,lead_vehicle,WARNING,inside_ODD,15.094,2,WARNING,0,Pass,Calculated state matches expected state.
